,doc,Ingredient
181,24,カレー粉
182,24,塩
183,24,サラダオイル
184,25,ひらめ
185,25,まぐろ
186,25,だいこん
187,25,サニーレタス
188,25,キャベツ
189,25,きゅうり
190,25,たまねぎ
191,25,トマト
192,25,にんじん
193,25,わさび
194,25,コショウ
195,25,塩
196,25,醤油
197,25,酢（ビネガー）
198,25,レモン
199,25,汁
200,25,オリーブオイル
201,26,豚肉
202,26,卵
203,26,キャベツ
204,26,しょうが
205,26,ねぎ
206,26,もやし
207,26,揚げ玉
208,26,青海苔
209,26,魚粉
210,27,にんじん
211,27,レモン
212,27,亜麻仁油
213,27,レーズン
214,28,小麦粉
215,28,豚挽肉
216,28,卵
217,28,じゃがいも
218,28,長ネギ
219,28,もやし
220,28,干ししいたけ
221,28,酒
222,28,ごま
223,28,あぶら
224,28,醤油
225,28,熱湯
226,29,小麦粉
227,29,豚肉スライス
228,29,卵
229,29,キャベツ
230,29,長ネギ
231,29,山芋
232,29,お好み焼き
233,29,ソース
234,29,かつおぶし
235,29,桜海老
236,29,青海苔
237,29,揚げ玉
238,29,だし汁
239,29,紅生姜
240,30,エノキ
241,30,たまねぎ
242,30,にんじん
243,30,ピーマン
244,30,バター
245,30,レモン
246,30,酒
247,30,コショウ
248,30,塩
249,30,醤油
250,31,ズッキーニ
251,31,きゅうり
252,31,トマト
253,31,ナス
254,31,ニンニク
255,31,ピーマン
256,31,オリーブオイル
257,31,鷹の爪
258,31,アンチョビ
259,32,アーティチョーク
260,32,オリーブオイル
261,32,塩
262,33,リフライドビーンズ
263,33,牛肉
264,33,サワークリーム
265,33,スライスチーズ
266,33,トマト
267,33,亀虫
268,33,ねぎ
269,33,たまねぎ
270,33,レタス
271,33,葉
272,33,ソース
273,33,ブリトソース
274,34,パン
275,34,トマト
276,34,コショウ
277,34,塩
278,34,バジル
279,34,バター
280,35,コーンスターチ
281,35,グランマニエ
282,35,コンデンスミルク
283,35,ココア
284,35,水飴
285,35,チョコ
286,35,水
287,36,しょうが
288,36,長ネギ
289,36,ナス
290,36,ごま
291,36,あぶら
292,36,豆板醤
293,36,醤油
294,37,パン粉
295,37,小麦粉
296,37,卵
297,37,里芋
298,37,油
299,37,コショウ
300,37,塩
301,37,バター
302,37,ベーコン
303,37,たまねぎ
304,38,卵
305,38,牛乳
306,38,生クリーム
307,38,砂糖
308,38,とうがらし
309,38,葉
310,38,バター
311,38,バニラエッセンス
312,38,レーズン
313,39,卵
314,39,サラダオイル
315,39,塩
316,39,バター
317,40,たまねぎ
318,40,トマト
319,40,アボガド
320,40,オレガノ
321,41,あずき缶
322,41,牛乳
323,41,あずき缶
324,42,ほたて
325,42,貝柱
326,42,だいこん
327,42,黒コショウ
328,42,醤油
329,42,マヨネーズ
330,43,野菜
331,43,スペアリブ
332,43,しょうが
333,43,だいこん
334,43,ねぎ
335,43,酒
336,43,五香粉
337,43,オイスターソース
338,43,ごま
339,43,あぶら
340,43,醤油
341,43,鷹の爪
342,43,水
343,44,小麦粉
344,44,鶏胸肉
345,44,サワークリーム
346,44,パルメザンチーズ
347,44,たまねぎ
348,44,ニンニク
349,44,タラゴン
350,44,バター
351,44,チキン
352,44,水
353,44,鶏肉
354,44,水
355,45,しょうが
356,45,セロリ
357,45,たまねぎ
358,45,長ネギ
359,45,ナス
360,45,にんじん
361,45,干ししいたけ
362,45,水
363,45,酒
364,45,ごま
365,45,あぶら
366,45,醤油
367,45,ひき肉
368,45,砂糖
369,46,コーンスターチ
370,46,スパゲッティ
371,46,鮭
372,46,牛乳
373,46,パルメザンチーズ
374,46,パセリ
375,46,たまねぎ
376,46,ニンニク
377,46,しいたけ
378,46,白ワイン
379,46,オリーブオイル
380,46,月桂樹
381,46,葉
382,46,バター
383,47,小麦粉
384,47,あさり
385,47,牛乳
386,47,じゃがいも
387,47,たまねぎ
388,47,コショウ
389,47,塩
390,47,バター
391,47,ベーコン
392,47,マッシュルーム
393,47,水
394,48,片栗粉
395,48,鶏もも
396,48,肉
397,48,しょうが
398,48,しぼり汁
399,48,トマト
400,48,長ネギ
401,48,きくらげ
402,48,酒
403,48,油
404,48,ごま
405,48,あぶら
406,48,塩
407,48,醤油
408,48,ザーサイ
409,49,薄力粉
410,49,卵
411,49,牛乳
412,49,クリームチーズ
413,49,ベーキングパウダー
414,49,バター
415,49,アーモンド
416,49,紅茶
417,49,葉
418,50,コーンミール
419,50,小麦粉
420,50,卵
421,50,牛乳
422,50,ベーキングパウダー
423,50,蜂蜜
424,50,塩
425,50,ショートニング
426,50,バター
427,51,薄力粉
428,51,くるみ
429,51,ミント
430,51,卵
431,51,ブランデー
432,51,バニラエッセンス
433,51,ココア
434,51,ケーキ
435,51,チョコ
436,51,パウンドケーキ
437,52,中華麺
438,52,トムヤムスープ
439,52,もやし
440,52,ニラ
441,52,豚ひき肉
442,52,しめじ
443,52,あさつき
444,52,ナンプラー
445,52,サラダ油
446,53,ラザニア
447,53,薄力粉
448,53,ひき肉
449,53,牛乳
450,53,パルメザンチーズ
451,53,パルメジャーノレッジャーノチーズ
452,53,たまねぎ
453,53,にんじん
454,53,オリーブオイル
455,53,ラザニア
456,54,牛肉
457,54,しゃぶしゃぶ
458,54,サニーレタス
459,54,レタス
460,54,しょうが
461,54,長ネギ
462,54,酒
463,55,茶そば
464,55,牛肉
465,55,卵
466,55,あさつき
467,55,だいこん
468,55,レモン
469,55,唐辛子
470,55,コショウ
471,55,塩
472,55,めんつゆ
473,56,薄力粉
474,56,セロリ
475,56,たまねぎ
476,56,にんじん
477,56,バジル
478,56,オリーブオイル
479,56,水
480,56,水
481,56,牛乳
482,56,強力粉
483,57,片栗粉
484,57,いわし
485,57,卵
486,57,ごぼう
487,57,ささがき
488,57,しょうが
489,57,にんじん
490,57,ねぎ
491,57,しょうゆ
492,57,みそ
493,57,ごま
494,57,ごま
495,57,あぶら
496,57,サラダオイル
497,57,塩
498,58,うどん
499,58,豆腐
500,58,青じそ
